18 1 0 52
17 1 0 52
16 1 0 55
15 1 0 57
14 1 0 58
13 1 0 58
12 1 0 60
11 1 0 61
10 1 0 58
9.6 1 0 64
9.5 1 0 70
9.4 1 0 80
9.3 1 0 80
9.2 1 0 80
9.1 1 0 83
9.0 1 0 82
8.4 1 0 82
8.3 1 0 75
8.2 1 0 75
8.0 1 0 166
18 1 4 46
17 1 4 46
16 1 4 48
15 1 4 49
14 1 4 50
13 1 4 50
12 1 4 51
11 1 4 53
10 1 4 58
9.6 1 4 64
18 10 0 602
17 10 0 583
16 10 0 617
15 10 0 641
14 10 0 660
13 10 0 663
12 10 0 691
11 10 0 690
10 10 0 683
9.6 10 0 745
9.5 10 0 811
9.4 10 0 894
9.3 10 0 920
9.2 10 0 935
9.1 10 0 966
9.0 10 0 962
8.4 10 0 968
8.3 10 0 997
8.2 10 0 1015
8.0 10 0 1941
18 10 4 521
17 10 4 518
16 10 4 539
15 10 4 558
14 10 4 575
13 10 4 577
12 10 4 603
11 10 4 615
10 10 4 691
9.6 10 4 751
