18 1 0 54
17 1 0 54
16 1 0 56
15 1 0 58
14 1 0 59
13 1 0 59
12 1 0 61
11 1 0 61
10 1 0 59
9.6 1 0 64
9.5 1 0 70
9.4 1 0 80
9.3 1 0 80
9.2 1 0 80
9.1 1 0 83
9.0 1 0 81
8.4 1 0 83
8.3 1 0 80
8.2 1 0 80
8.0 1 0 153
18 1 4 46
17 1 4 46
16 1 4 49
15 1 4 51
14 1 4 51
13 1 4 51
12 1 4 53
11 1 4 53
10 1 4 59
9.6 1 4 64
18 10 0 615
17 10 0 602
16 10 0 636
15 10 0 649
14 10 0 674
13 10 0 674
12 10 0 711
11 10 0 722
10 10 0 696
9.6 10 0 752
9.5 10 0 828
9.4 10 0 904
9.3 10 0 908
9.2 10 0 918
9.1 10 0 927
9.0 10 0 927
8.4 10 0 944
8.3 10 0 961
8.2 10 0 996
8.0 10 0 1829
18 10 4 525
17 10 4 524
16 10 4 552
15 10 4 557
14 10 4 575
13 10 4 575
12 10 4 609
11 10 4 613
10 10 4 698
9.6 10 4 748
