18-jit 1 0 53 56 5
18-jit 1 4 44 34 5
17-jit 1 0 53 58 5
17-jit 1 4 44 34 5
16-jit 1 0 58 62 4
16-jit 1 4 47 38 5
15-jit 1 0 58 59 5
15-jit 1 4 47 37 5
14-jit 1 0 59 65 5
14-jit 1 4 49 38 5
13-jit 1 0 59 64 5
13-jit 1 4 48 38 4
12-jit 1 0 60 64 6
12-jit 1 4 49 38 5
11-jit 1 0 61 63 4
11-jit 1 4 50 38 3
18-jit 10 0 595 630 30
18-jit 10 4 485 402 30
17-jit 10 0 590 624 30
17-jit 10 4 482 389 30
16-jit 10 0 632 657 30
16-jit 10 4 507 409 29
15-jit 10 0 643 656 29
15-jit 10 4 518 400 30
14-jit 10 0 664 703 30
