18 1 0 53 57 4
18 1 4 44 34 4
8.0 1 0 142 121 24
9.4 1 0 79 82 6
12 1 0 60 64 4
12 1 4 51 38 4
9.0 1 0 81 83 14
15 1 0 57 58 5
15 1 4 47 36 5
9.6 1 0 61 55 5
9.6 1 4 61 55 5
9.2 1 0 78 84 6
8.3 1 0 80 89 15
17 1 0 53 56 5
17 1 4 44 34 4
14 1 0 59 65 4
14 1 4 49 37 4
11 1 0 61 63 5
11 1 4 50 38 5
9.5 1 0 69 72 4
9.3 1 0 78 83 6
8.4 1 0 82 86 14
16 1 0 56 60 4
16 1 4 47 38 4
13 1 0 59 63 5
13 1 4 49 37 4
10 1 0 59 61 5
10 1 4 60 61 5
9.1 1 0 81 83 13
8.2 1 0 80 86 15
18 10 0 601 623 30
18 10 4 483 381 30
8.0 10 0 1921 1767 346
9.4 10 0 943 978 41
12 10 0 701 720 38
12 10 4 576 432 37
9.0 10 0 962 975 153
15 10 0 641 646 29
15 10 4 526 409 29
9.6 10 0 753 656 39
9.6 10 4 752 657 39
9.2 10 0 947 998 42
8.3 10 0 1002 1020 162
17 10 0 595 625 29
17 10 4 480 375 31
14 10 0 669 711 29
14 10 4 530 413 29
11 10 0 704 716 37
11 10 4 575 430 36
9.5 10 0 852 863 39
9.3 10 0 938 1001 40
8.4 10 0 975 1023 162
16 10 0 631 664 29
16 10 4 506 407 30
13 10 0 669 713 32
13 10 4 539 432 31
10 10 0 693 707 37
10 10 4 689 712 36
9.1 10 0 978 988 152
8.2 10 0 1044 1053 182
