2024-10-16 03:28:33.440 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:28:33.443 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3255047 kB
2024-10-16 03:29:33.453 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:29:33.456 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2929542 kB
2024-10-16 03:30:33.471 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:30:33.477 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2636588 kB
2024-10-16 03:31:33.503 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:31:33.506 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2372929 kB
2024-10-16 03:32:33.517 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:32:33.521 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2135636 kB
2024-10-16 03:33:33.544 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:33:33.551 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.001 s, total=0.008 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1922073 kB
2024-10-16 03:34:33.633 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:34:33.636 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1729865 kB
2024-10-16 03:35:33.648 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:35:33.656 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.001 s, total=0.008 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1556879 kB
2024-10-16 03:36:33.708 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:36:33.711 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1401191 kB
2024-10-16 03:37:33.723 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:37:33.726 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1261072 kB
2024-10-16 03:38:33.747 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:38:33.752 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1134965 kB
2024-10-16 03:39:33.837 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:39:33.840 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1021468 kB
2024-10-16 03:40:33.890 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:40:33.893 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=919321 kB
2024-10-16 03:41:33.906 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:41:33.910 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=827389 kB
2024-10-16 03:42:33.925 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:42:33.931 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.007 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=744650 kB
2024-10-16 03:43:33.942 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:43:33.946 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=670185 kB
2024-10-16 03:44:33.990 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:44:33.993 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=603167 kB
2024-10-16 03:45:34.077 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:45:34.080 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=542850 kB
2024-10-16 03:46:34.091 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:46:34.096 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=488565 kB
2024-10-16 03:47:34.106 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:47:34.108 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=439708 kB
2024-10-16 03:48:34.122 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:48:34.127 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=395738 kB
2024-10-16 03:49:34.155 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:49:34.159 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=356164 kB
2024-10-16 03:50:34.240 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:50:34.243 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=320547 kB
2024-10-16 03:51:34.290 CEST [3564503] LOG:  checkpoint starting: immediate force wait
