2024-10-16 02:08:50.997 CEST [3551295] LOG:  starting PostgreSQL 17.0 on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit
2024-10-16 02:08:50.998 CEST [3551295] LOG:  listening on IPv6 address "::1", port 5432
2024-10-16 02:08:50.998 CEST [3551295] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2024-10-16 02:08:50.999 CEST [3551295] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2024-10-16 02:08:51.000 CEST [3551298] LOG:  database system was shut down at 2024-10-16 02:08:50 CEST
2024-10-16 02:08:51.003 CEST [3551295] LOG:  database system is ready to accept connections
2024-10-16 02:10:11.652 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:10:18.189 CEST [3551296] LOG:  checkpoint complete: wrote 126793 buffers (96.7%); 0 WAL file(s) added, 0 removed, 297 recycled; write=1.471 s, sync=5.032 s, total=6.538 s; sync files=385, longest=2.309 s, average=0.014 s; distance=4866322 kB, estimate=4866322 kB; lsn=1/2A528E90, redo lsn=1/2A528E38
2024-10-16 02:10:18.203 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:10:18.206 CEST [3551296] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=4379690 kB; lsn=1/2A528F60, redo lsn=1/2A528F08
2024-10-16 02:11:18.230 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:11:18.238 CEST [3551296] LOG:  checkpoint complete: wrote 85 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.001 s, total=0.009 s; sync files=16, longest=0.001 s, average=0.001 s; distance=369 kB, estimate=3941758 kB; lsn=1/2A5855C0, redo lsn=1/2A585568
2024-10-16 02:12:18.248 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:12:18.252 CEST [3551296] LOG:  checkpoint complete: wrote 32 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=5, longest=0.001 s, average=0.001 s; distance=154 kB, estimate=3547597 kB; lsn=1/2A5ABE60, redo lsn=1/2A5ABE08
2024-10-16 02:13:18.296 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:13:18.299 CEST [3551296] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3192837 kB; lsn=1/2A5ABF68, redo lsn=1/2A5ABF10
2024-10-16 02:14:18.311 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:14:18.315 CEST [3551296] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2873554 kB; lsn=1/2A5AC088, redo lsn=1/2A5AC030
2024-10-16 02:15:18.329 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:15:18.334 CEST [3551296] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2586198 kB; lsn=1/2A5AC190, redo lsn=1/2A5AC138
2024-10-16 02:16:18.409 CEST [3551296] LOG:  checkpoint starting: immediate force wait
2024-10-16 02:16:18.412 CEST [3551296] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2327578 kB; lsn=1/2A5AC298, redo lsn=1/2A5AC240
2024-10-16 02:17:18.423 CEST [3551296] LOG:  checkpoint starting: immediate force wait
